Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
1.18,0.3469038351,0.311,0.54,0.68,0.303
1.19,0.2662220822,0.308,0.55,0.69,0.371
1.2,0.2319120633,0.315,0.56,0.69,0.404
1.21,0.2319120633,0.318,0.57,0.69,0.404
1.22,0.2253333333,0.308,0.57,0.7,0.404
1.23,0.2253333333,0.311,0.58,0.7,0.404
1.24,0.2514349005,0.311,0.59,0.71,0.371
1.25,0.3182073663,0.304,0.59,0.71,0.303
1.26,0.383997884,0.308,0.6,0.71,0.236
1.27,0.3515935992,0.315,0.61,0.71,0.269
1.28,0.2129886831,0.315,0.61,0.72,0.404
1.29,0.08408243313,0.304,0.62,0.72,0.539
1.3,0.01955964221,0.308,0.63,0.73,0.606
1.31,0.0817945831,0.315,0.64,0.73,0.539
1.32,0.2016313611,0.311,0.64,0.74,0.404
1.33,0.3236638666,0.315,0.65,0.74,0.269
1.34,0.3534940346,0.311,0.66,0.74,0.236
1.35,0.2851703704,0.315,0.67,0.75,0.303
1.36,0.2253303704,0.315,0.67,0.75,0.371
1.37,0.1962903704,0.315,0.68,0.75,0.404
1.38,0.1911588181,0.311,0.69,0.76,0.404
1.39,0.1911588181,0.315,0.7,0.76,0.404
1.4,0.1862258953,0.315,0.7,0.77,0.404
1.41,0.1862258953,0.308,0.71,0.77,0.404
1.42,0.1862258953,0.311,0.72,0.77,0.404
1.43,0.1538187596,0.315,0.73,0.78,0.438
1.44,0.1261560377,0.315,0.73,0.78,0.472
1.45,0.1499492603,0.311,0.74,0.79,0.438
