Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
1.16,0.1233027211,0.318,0.56,0.7,0.505
1.17,0.2190306156,0.318,0.57,0.71,0.404
1.18,0.3515935992,0.318,0.58,0.71,0.269
1.19,0.383997884,0.321,0.58,0.71,0.236
1.2,0.2769643776,0.318,0.59,0.72,0.337
1.21,0.1480581276,0.318,0.6,0.72,0.472
1.22,0.0502126728,0.328,0.6,0.73,0.573
1.23,0.0817945831,0.311,0.61,0.73,0.539
1.24,0.1708972486,0.321,0.62,0.74,0.438
1.25,0.2016313611,0.321,0.63,0.74,0.404
1.26,0.1401631361,0.311,0.63,0.74,0.472
1.27,0.07749037037,0.321,0.64,0.75,0.539
1.28,0.1046023777,0.321,0.65,0.76,0.505
1.29,0.1911588181,0.311,0.66,0.76,0.404
1.3,0.3068530702,0.318,0.66,0.76,0.269
1.31,0.3548715354,0.328,0.67,0.77,0.202
1.32,0.2989346152,0.318,0.68,0.77,0.269
1.33,0.1578399955,0.321,0.69,0.77,0.438
1.34,0.09930692527,0.325,0.69,0.78,0.505
1.35,0.1538187596,0.304,0.7,0.78,0.438
1.36,0.1814814815,0.315,0.71,0.78,0.404
1.37,0.122982428,0.328,0.72,0.79,0.472
1.38,0.06984190568,0.311,0.73,0.79,0.539
1.39,0.1199270833,0.311,0.73,0.8,0.472
1.4,0.1980442708,0.318,0.74,0.8,0.371
1.41,0.1931844739,0.318,0.75,0.81,0.371
1.42,0.1426357771,0.318,0.76,0.81,0.438
1.43,0.1391780686,0.318,0.77,0.82,0.438
1.44,0.2135311323,0.318,0.77,0.82,0.337
1.45,0.2635906207,0.318,0.78,0.82,0.269
1.46,0.2135311323,0.318,0.79,0.82,0.337
1.47,0.1358445832,0.318,0.8,0.83,0.438
1.48,0.0877026177,0.311,0.81,0.83,0.505
1.49,0.08562688964,0.311,0.82,0.84,0.505
1.5,0.1087773998,0.318,0.82,0.84,0.472
1.51,0.129527105,0.321,0.83,0.85,0.438
1.52,0.1528212226,0.318,0.84,0.85,0.404
1.53,0.1492879034,0.315,0.85,0.86,0.404
1.54,0.1713741662,0.315,0.86,0.86,0.371
1.55,0.2119280398,0.325,0.87,0.87,0.303
1.56,0.2341634738,0.315,0.88,0.87,0.269
1.57,0.1896926058,0.328,0.88,0.87,0.337
1.58,0.1236402871,0.325,0.89,0.87,0.438
1.59,0.09911329201,0.318,0.9,0.88,0.472
1.6,0.1208462466,0.328,0.91,0.88,0.438
1.61,0.118145857,0.325,0.92,0.89,0.438
1.62,0.07627614358,0.318,0.93,0.89,0.505
