Time (s),K,Force (N),Position (m),Velocity (m/s),Acceleration (m/s2)
0,0.2887349954,0.328,0.04,0.19,0.606
0.01,0.2605833333,0.318,0.04,0.2,0.606
0.02,1.918833333,0.325,0.04,0.2,0.472
0.03,2.874111867,0.325,0.04,0.21,0.371
0.04,2.503703704,0.328,0.05,0.21,0.404
0.05,1.370030234,0.325,0.05,0.21,0.505
0.06,0.9005853994,0.325,0.05,0.22,0.539
0.07,1.142123503,0.321,0.05,0.23,0.505
0.08,2.08720857,0.325,0.05,0.23,0.404
0.09,2.39599874,0.325,0.06,0.23,0.371
0.1,1.624710648,0.318,0.06,0.24,0.438
0.11,1.048929398,0.325,0.06,0.24,0.505
0.12,0.9666933333,0.325,0.06,0.25,0.505
0.13,1.497333333,0.318,0.07,0.25,0.438
0.14,1.384368836,0.321,0.07,0.26,0.438
0.15,0.8937623274,0.328,0.07,0.26,0.505
0.16,0.5979195245,0.332,0.07,0.27,0.539
0.17,1.052857796,0.325,0.08,0.27,0.472
0.18,1.831356293,0.315,0.08,0.28,0.337
0.19,2.260693027,0.318,0.08,0.28,0.269
0.2,1.831356293,0.318,0.09,0.28,0.337
0.21,0.9789965986,0.318,0.09,0.28,0.472
0.22,0.5182917162,0.321,0.09,0.29,0.539
0.23,0.6713148148,0.325,0.09,0.3,0.505
0.24,1.039814815,0.321,0.1,0.3,0.438
0.25,1.148942074,0.325,0.1,0.31,0.404
0.26,1.148942074,0.321,0.1,0.31,0.404
0.27,1.148942074,0.321,0.11,0.31,0.404
0.28,0.9138997396,0.321,0.11,0.32,0.438
0.29,0.5900227865,0.321,0.11,0.32,0.505
0.3,0.4002601775,0.315,0.12,0.33,0.539
0.31,0.7048056321,0.325,0.12,0.33,0.472
0.32,1.242027105,0.315,0.12,0.34,0.337
0.33,1.38761534,0.315,0.13,0.34,0.303
0.34,0.9551326413,0.318,0.13,0.34,0.404
0.35,0.3558231293,0.325,0.13,0.35,0.539
0.36,0.2184353741,0.315,0.14,0.35,0.573
0.37,0.4661908436,0.311,0.14,0.36,0.505
0.38,0.5922325103,0.321,0.14,0.36,0.472
0.39,0.4413318724,0.318,0.15,0.37,0.505
0.4,0.1954589725,0.315,0.15,0.37,0.573
0.41,0.3018582641,0.321,0.15,0.38,0.539
0.42,0.7259259259,0.315,0.16,0.39,0.404
0.43,1.054624151,0.318,0.16,0.39,0.303
0.44,0.9439732632,0.321,0.17,0.39,0.337
0.45,0.6152750384,0.315,0.17,0.39,0.438
0.46,0.4797083333,0.325,0.17,0.4,0.472
0.47,0.5848958333,0.321,0.18,0.4,0.438
0.48,0.6568312512,0.315,0.18,0.41,0.404
0.49,0.6568312512,0.318,0.19,0.41,0.404
0.5,0.6259259259,0.318,0.19,0.42,0.404
0.51,0.6259259259,0.315,0.19,0.42,0.404
0.52,0.6259259259,0.311,0.2,0.42,0.404
0.53,0.5971516135,0.321,0.2,0.43,0.404
0.54,0.5971516135,0.321,0.21,0.43,0.404
0.55,0.4833849862,0.315,0.21,0.44,0.438
0.56,0.396453168,0.315,0.22,0.44,0.472
0.57,0.2983621399,0.318,0.22,0.45,0.505
0.58,0.2983621399,0.318,0.23,0.45,0.505
0.59,0.3627284184,0.318,0.23,0.46,0.472
0.6,0.3627284184,0.315,0.23,0.46,0.472
0.61,0.2855308759,0.318,0.24,0.46,0.505
0.62,0.1211332428,0.321,0.24,0.47,0.573
0.63,0.1891854745,0.318,0.25,0.48,0.539
0.64,0.479224537,0.318,0.25,0.48,0.404
0.65,0.5979938914,0.315,0.26,0.49,0.337
0.66,0.4598639456,0.315,0.26,0.49,0.404
0.67,0.1815424129,0.318,0.27,0.49,0.539
0.68,0.1743533333,0.315,0.27,0.5,0.539
0.69,0.4245033961,0.311,0.28,0.51,0.404
0.7,0.616717929,0.318,0.28,0.51,0.303
0.71,0.616717929,0.321,0.29,0.51,0.303
0.72,0.4873061643,0.315,0.29,0.51,0.371
0.73,0.4687438363,0.318,0.3,0.52,0.371
0.74,0.4687438363,0.321,0.3,0.52,0.371
0.75,0.2838510848,0.318,0.31,0.52,0.472
0.76,0.03710691824,0.318,0.31,0.53,0.606
0.77,0.03574531321,0.321,0.32,0.54,0.606
0.78,0.263214449,0.315,0.32,0.54,0.472
0.79,0.3650027548,0.318,0.33,0.55,0.404
0.8,0.3093663912,0.325,0.34,0.55,0.438
0.81,0.2447491497,0.318,0.34,0.56,0.472
0.82,0.2984162415,0.328,0.35,0.56,0.438
0.83,0.3520833333,0.321,0.35,0.56,0.404
0.84,0.3901149072,0.318,0.36,0.57,0.371
0.85,0.4419154612,0.318,0.36,0.57,0.337
0.86,0.3398378988,0.321,0.37,0.57,0.404
0.87,0.1295729291,0.315,0.38,0.58,0.539
0.88,0.1252178493,0.318,0.38,0.59,0.539
0.89,0.364114718,0.318,0.39,0.59,0.371
0.9,0.5560854161,0.311,0.39,0.59,0.236
0.91,0.4608110696,0.318,0.4,0.59,0.303
0.92,0.2599537037,0.318,0.4,0.6,0.438
0.93,0.2599537037,0.315,0.41,0.6,0.438
0.94,0.2967302696,0.318,0.42,0.61,0.404
0.95,0.2515004927,0.315,0.42,0.61,0.438
0.96,0.1133931668,0.311,0.43,0.62,0.539
0.97,0.06961064863,0.315,0.44,0.62,0.573
0.98,0.1098219535,0.325,0.44,0.63,0.539
0.99,0.1098219535,0.315,0.45,0.63,0.539
1,0.1475056966,0.321,0.45,0.64,0.505
1.01,0.3094441732,0.321,0.46,0.64,0.371
1.02,0.4979960552,0.315,0.47,0.65,0.202
1.03,0.4979960552,0.315,0.47,0.65,0.202
1.04,0.2999960552,0.315,0.48,0.65,0.371
1.05,0.1430019724,0.315,0.49,0.65,0.505
1.06,0.176201408,0.315,0.49,0.66,0.472
1.07,0.3296104989,0.318,0.5,0.66,0.337
1.08,0.3573364521,0.318,0.51,0.67,0.303
1.09,0.2084725626,0.325,0.51,0.67,0.438
1.1,0.02254181084,0.321,0.52,0.68,0.606
1.11,0.02254181084,0.315,0.53,0.68,0.606
1.12,0.1965623468,0.321,0.53,0.69,0.438
1.13,0.3369215151,0.321,0.54,0.69,0.303
1.14,0.3015717986,0.321,0.55,0.69,0.337
1.15,0.1566394558,0.311,0.55,0.7,0.472
